,band_name,fans,formed,origin,split,style
0,"Iron Maiden",4195,1975,"United Kingdom",-,"New wave of british heavy,Heavy"
1,"Opeth",4147,1990,"Sweden",1990,"Extreme progressive,Progressive rock,Progressive"
2,"Metallica",3712,1981,"USA",-,"Heavy,Bay area thrash"
3,"Megadeth",3105,1983,"USA",1983,"Thrash,Heavy,Hard rock"
4,"Amon Amarth",3054,1988,"Sweden",-,"Melodic death"
5,"Slayer",2955,1981,"USA",1981,"Thrash"
6,"Death",2690,1983,"USA",2001,"Progressive death,Death,Progressive thrash"
7,"Dream Theater",2329,1985,"USA",1985,"Progressive"
8,"Black Sabbath",2307,1968,"United Kingdom",-,"Doom,Heavy,Hard rock"
9,"Nightwish",2183,1996,"Finland",1996,"Symphonic power,Gothic,Symphonic"
10,"Children Of Bodom",2153,1993,"Finland",-,"Extreme power"
11,"Judas Priest",2094,1969,"United Kingdom",1969,"Heavy,Hard rock"
12,"Blind Guardian",2040,1984,"Germany",-,"Power,Speed"
13,"In Flames",1932,1990,"Sweden",1990,"Gothenburg,Alternative"
14,"Pantera",1920,1981,"USA",2003,"Heavy,Groove thrash,Groove metal"
15,"Dark Tranquillity",1898,1989,"Sweden",1989,"Gothenburg"
16,"Agalloch",1881,1995,"USA",2016,"Atmospheric black,Neofolk"
17,"Ensiferum",1879,1995,"Finland",1995,"Extreme folk"
18,"Arch Enemy",1750,1996,"Sweden",-,"Gothenburg"
19,"Katatonia",1735,1991,"Sweden",1991,"Blackened doom,Death doom,Alternative rock,Gothic doom"
20,"Behemoth",1721,1991,"Poland",-,"Death,Black,Blackened death"
21,"Dimmu Borgir",1688,1993,"Norway",1993,"Symphonic black,Black"
22,"Kreator",1646,1982,"Germany",-,"Teutonic thrash"
23,"Wintersun",1640,2004,"Finland",2004,"Extreme power"
24,"Insomnium",1547,1997,"Finland",-,"Melodic death"
25,"Amorphis",1528,1990,"Finland",1990,"Death,Melodic death,Folk,Progressive"
26,"Kamelot",1520,1991,"USA",-,"Symphonic power"
27,"Tool",1506,1988,"USA",1988,"Progressive,Alternative"
28,"Helloween",1501,1978,"Germany",-,"Speed,Power"
29,"Testament",1500,1983,"USA",1983,"Bay area thrash"
30,"Epica",1450,2002,"The Netherlands",-,"Symphonic"
31,"Immortal",1436,1990,"Norway",1990,"Death,Black"
32,"Lamb Of God",1433,1999,"USA",-,"Groove thrash"
33,"Iced Earth",1403,1985,"USA",1985,"Heavy,Us power"
34,"Anathema",1400,1990,"United Kingdom",-,"Death doom,Atmospheric rock,Doom"
35,"Symphony X",1343,1994,"USA",1994,"Progressive,Symphonic power"
36,"Eluveitie",1328,2002,"Switzerland",-,"Celtic folk,Gothenburg"
37,"Gojira",1300,1996,"France",1996,"Progressive death"
38,"Rammstein",1251,1994,"Germany",-,"Industrial"
39,"Sonata Arctica",1242,1996,"Finland",1996,"Power"
40,"Mastodon",1232,1999,"USA",-,"Progressive stoner,Progressive sludge"
41,"Nile",1189,1993,"USA",1993,"Brutal death,Technical death"
42,"Sepultura",1185,1984,"Brazil",-,"Alternative,Death,Groove thrash,Thrash"
43,"Moonspell",1173,1989,"Portugal",1989,"Folk,Gothic black,Gothic,Symphonic black,Black"
44,"Therion",1167,1987,"Sweden",-,"Death,Symphonic"
45,"Cannibal Corpse",1162,1988,"USA",1988,"Death"
46,"Enslaved",1146,1991,"Norway",-,"Viking black,Progressive black"
47,"Emperor",1132,1991,"Norway",1991,"Black,Symphonic black"
48,"Porcupine Tree",1094,1987,"United Kingdom",-,"Progressive rock,Progressive"
49,"Cradle Of Filth",1084,1991,"United Kingdom",1991,"Extreme gothic,Symphonic black,Death,Symphonic"
50,"Be'lakor",1083,2004,"Australia",-,"Melodic death"
51,"My Dying Bride",1069,1990,"United Kingdom",1990,"Death doom,Gothic doom"
52,"Led Zeppelin",1054,1968,"United Kingdom",1980,"Progressive hard rock,Heavy,Blues rock"
53,"Nevermore",1051,1991,"USA",1991,"Heavy,Progressive,Thrash"
54,"Stratovarius",1046,1982,"Finland",-,"Power,Heavy"
55,"Paradise Lost",1042,1988,"United Kingdom",1988,"Gothic,Electro gothic,Death doom"
56,"Dio",1023,1982,"USA",2010,"Heavy"
57,"Kalmah",1004,1991,"Finland",1991,"Extreme power,Melodic death"
58,"Carcass",1001,1985,"United Kingdom",-,"Grindcore,Melodic death"
59,"Burzum",978,1989,"Norway",1989,"Black,Dark,Ambient,Ambient"
60,"Anthrax",976,1981,"USA",-,"Thrash,Heavy"
61,"Morbid Angel",975,1984,"USA",1984,"Death"
62,"Meshuggah",970,1987,"Sweden",-,"Technical thrash,Math,Progressive"
63,"Finntroll",967,1997,"Finland",1997,"Extreme folk"
64,"Septicflesh",967,1990,"Greece",-,"Atmospheric death,Symphonic death"
65,"Moonsorrow",966,1995,"Finland",1995,"Viking folk"
66,"Machine Head",957,1992,"USA",-,"Groove thrash,Progressive thrash"
67,"System Of A Down",956,1995,"USA",1995,"Alternative"
68,"Within Temptation",956,1996,"The Netherlands",-,"Symphonic,Gothic"
69,"Bathory",942,1983,"Sweden",1983,"Viking black,First wave of black"
70,"Exodus",937,1980,"USA",-,"Bay area thrash"
71,"Draconian",936,1994,"Sweden",1994,"Gothic doom"
72,"Slipknot",928,1995,"USA",-,"Alternative,Nu"
73,"AC/DC",923,1973,"Australia",1973,"Hard rock,Blues rock"
74,"Ayreon",903,1995,"The Netherlands",-,"Progressive"
